SMILES,PEOE_VSA6,TPSA,NumHAcceptors,VSA_EState10,NumHDonors
O=C(O)c1cccc(-c2cn(CB(O)OP(=O)(O)O)nn2)c1,17.34611923257809,155.0,7,0.0,4
NC(=O)c1cccc(-c2cn(CB(O)OP(=O)(O)O)nn2)c1,17.34611923257809,160.79000000000002,7,0.0,4
O=P(O)(O)OB(O)Cn1cc(-c2ccsc2)nn1,5.213385095654868,117.70000000000002,7,1.5113525863232753,3
O=P(O)(O)OB(O)Cn1cc(CNS(=O)(=O)CC(F)(F)F)nn1,5.213385095654868,163.87,8,0.0,4
Cc1ccc(S(=O)(=O)NCc2cn(CB(O)OP(=O)(O)O)nn2)cc1,22.909570724275085,163.87,8,0.0,4
CCN(C)C(=O)c1ccc(B(O)O)cc1,12.13273413692322,60.77000000000001,3,0.0,2
CC[C@@H](NS(=O)(=O)Cc1cccc(C(=O)O)c1)B(O)OP(=O)(O)O,19.056471336613843,170.45999999999998,6,0.0,5
CC[C@H](NS(=O)(=O)Cc1cccc(C(=O)O)c1)B(O)OP(=O)(O)O,19.056471336613843,170.45999999999998,6,0.0,5
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@H](C=O)[C@@H]1N[C@@H](C(=O)O)C(C)(C)S1,34.95670435274279,121.53000000000002,7,7.50522135962412,3
N[C@@H](C(=O)N[C@H](C=O)[C@H]1CC[C@H](Cl)C(C(=O)O)=N1)c1ccccc1,30.33183534230805,121.85,5,5.9197713668382335,3
C=C1CO[C@H]([C@@](C=O)(NC(=O)[C@@H](C(=O)O)c2ccc(O)cc2)OC)N=C1C(=O)O,18.711669820521717,171.82,8,0.0,4
O=C(Cc1cccs1)NCB(O)O,6.06636706846161,69.56,4,1.4996716742252456,3
O=S(=O)(Nc1cccc(B(O)O)c1)c1cc(S(=O)(=O)c2ccccc2)cs1,30.33183534230805,120.77000000000001,7,0.7793791204753506,3
O=C(O)c1ccc(B(O)O)cc1,12.13273413692322,77.76,3,0.0,3
O=C(O)/C=C/c1ccc(B(O)O)cc1,24.26546827384644,77.76,3,0.0,3
OB(O)c1ccc(-c2ccc(B(O)O)cc2)cc1,48.53093654769288,80.92,4,0.0,4
CC1=C(C(=O)O)N[C@H]([C@H](NC(=O)Cc2cccs2)C(=O)O)SC1,6.06636706846161,115.73,6,2.6662348895659678,4
CO/N=C(\C(=O)N[C@H](C=O)[C@@H]1N[C@@H](C(=O)O)C(C)(C)S1)c1csc(N)n1,5.15571272675054,156.0,10,2.3895284642272374,4
O=C(Cc1cccs1)N[C@H](B(O)O)c1ccccc1,36.39820241076966,69.56,4,1.4967124380616443,3
O=CN(C=O)Cc1ccc2sc(B(O)O)cc2c1,6.06636706846161,77.84,5,1.2917812526245065,2
N[C@@H](CCCCNC(=O)O)C(=O)O,0.0,112.64999999999999,3,0.0,4
O=C(O)/C=C/c1cccc([C@H](NC(=O)Cc2cccs2)B(O)O)c1,30.33183534230805,106.86000000000001,5,1.4437141702139202,4
Nc1cccc(B(O)O)c1,12.13273413692322,66.48,3,0.0,3
O=C(O)c1ccc(B(O)O)cc1NS(=O)(=O)c1cc(S(=O)(=O)c2ccccc2)cs1,24.26546827384644,158.07,8,0.6462064069454942,4
O=S(=O)(Cc1ccccc1)NCB(O)O,30.33183534230805,86.63000000000001,4,0.0,3
O=C(O)c1ccc(CS(=O)(=O)NCB(O)O)cc1,12.13273413692322,123.93,5,0.0,4
O=C(O)c1cccc(C[C@H](NS(=O)(=O)Cc2ccccc2)B(O)O)c1,42.46456947923127,123.93,5,0.0,4
